time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1729696531227074800,2.38807470703125,45,0.0860232561826706,4.517486095428467,13.147000312805176,0.1090671643614769,242.1234893798828,312,-85.5089649,36.17538
1729696532231363300,3.39236328125,45,0.07211102545261383,4.517394542694092,11.581999778747559,0.1638857126235962,273.81396484375,312,-85.5089723,36.1753842
1729696533231302100,4.39230224609375,45,0.08062257617712021,4.527393817901611,10.571000099182129,0.22281989455223083,288.34637451171875,312,-85.5089777,36.1753879
1729696534232812500,5.3938125,45,0.08062257617712021,4.537408828735352,9.817999839782715,0.2604594826698303,307.48077392578125,312,-85.5089798,36.1753934
1729696535232966100,6.393966064453125,45,0.08062257617712021,4.547410488128662,9.145999908447266,0.2516871988773346,318.0942687988281,312,-85.5089795,36.1753964
1729696536234221300,7.39522119140625,45,0.08062257617712021,4.557423114776611,7.645999908447266,0.23216217756271362,323.80535888671875,312,-85.5089793,36.1753981
1729696537049000000,8.21,45,1.5,2.031830072402954,10.027999877929688,0.22705036401748657,324.0870361328125,311.5,-85.5089803,36.1753993
1729696537231067400,8.3920673828125,45,0.08062257617712021,2.0327279567718506,9.336999893188477,0.19230525195598602,328.90875244140625,311.5,-85.5089783,36.1753986
1729696538235590400,9.39659033203125,45,0.08062257617712021,2.016831398010254,8.550999641418457,0.1971236914396286,332.7012023925781,311.5,-85.5089788,36.1754006
1729696539233343200,10.39434326171875,45,0.08062257617712021,2.0318050384521484,7.980000019073486,0.20869751274585724,332.26336669921875,311.5,-85.5089803,36.1754027
1729696540231698400,11.392698486328126,45,0.08062257617712021,2.0417885780334473,7.401000022888184,0.21117305755615234,333.4004821777344,311.5,-85.5089812,36.1754046
1729696541240388400,12.401388427734375,45,0.08062257617712021,2.0537571907043457,7.254000186920166,0.19851936399936676,338.1505432128906,311.5,-85.5089808,36.1754061
1729696542064000000,13.225,45,1.5,1.5722585916519165,6.980000019073486,0.19427192211151123,338.379638671875,311.5,-85.5089813,36.1754072
1729696542236962300,13.39796240234375,45,0.08062257617712021,1.5728566646575928,6.747000217437744,0.17964591085910797,339.795654296875,311.5,-85.5089807,36.1754068
1729696543232073700,14.39307373046875,45,0.08062257617712021,1.5900250673294067,6.324999809265137,0.15134184062480927,344.0591125488281,311.5,-85.50898,36.175407
1729696544233428200,15.39442822265625,45,0.08062257617712021,1.656459927558899,6.570000171661377,0.1278955489397049,346.0998229980469,311.5,-85.5089796,36.1754071
1729696545237905400,16.398905517578125,45,0.08062257617712021,1.6665046215057373,6.546999931335449,0.1075059324502945,346.2312927246094,311.5,-85.5089796,36.1754071
1729696546233649000,17.39464892578125,0,0.08062257617712021,1.6818416118621826,6.1529998779296875,0.0903697982430458,0,311.5,-85.5089797,36.175407
1729696547085000000,18.246,0,1.5,1.37600576877594,6.627999782562256,0.08793222904205322,0,311.5,-85.5089798,36.1754075
1729696547231843600,18.392843505859375,0,0.08062257617712021,1.3765281438827515,6.2230000495910645,0.07534230500459671,0,311.5,-85.5089797,36.175407
1729696548231727600,19.3927275390625,0,0.08062257617712021,1.387721061706543,6.2220001220703125,0.06284129619598389,0,311.5,-85.5089791,36.175407
1729696549234265000,20.39526513671875,0,0.08062257617712021,1.4012945890426636,6.626999855041504,0.06397511810064316,0,311.5,-85.5089794,36.1754076
1729696550234397700,21.395397705078125,0,0.08062257617712021,1.4163317680358887,6.2220001220703125,0.06735487282276154,0,311.5,-85.50898,36.1754083
1729696551234807300,22.395807373046875,0,0.08062257617712021,1.4278643131256104,6.626999855041504,0.07099556922912598,0,311.5,-85.5089807,36.175409
1729696552102000000,23.263000244140624,0,1.5,1.3714107275009155,6.679999828338623,0.06983804702758789,0,312,-85.5089809,36.1754094
1729696552236301800,23.3973017578125,0,0.08062257617712021,1.371997594833374,6.679999828338623,0.07286866009235382,0,312,-85.5089813,36.1754096
1729696553233674200,24.39467431640625,0,0.08062257617712021,1.3806142807006836,6.679999828338623,0.06286972016096115,0,312,-85.508981,36.1754097
1729696554236382700,25.3973828125,0,0.08062257617712021,1.3897727727890015,6.679999828338623,0.06066929176449776,0,312,-85.5089812,36.1754101
1729696555240068600,26.401068603515625,0,0.08062257617712021,1.3987458944320679,6.679999828338623,0.0621817521750927,0,312,-85.5089816,36.1754107
1729696556235853000,27.39685302734375,0,0.08062257617712021,1.4087036848068237,6.679999828338623,0.06574245542287827,0,312,-85.5089821,36.1754114
1729696557233755400,28.39475537109375,0,0.08062257617712021,1.4186828136444092,3.7899999618530273,0.06749793142080307,0,312,-85.5089827,36.1754119
1729696557325000000,28.486,0,1.5,1.254266381263733,4.093999862670898,0.06733433902263641,0,311.5,-85.5089828,36.1754119
1729696558236502300,29.397502197265624,0,0.08062257617712021,1.234761357307434,4.093999862670898,0.05000355467200279,0,311.5,-85.5089821,36.1754117
1729696559243950300,30.404950439453124,0,0.08062257617712021,1.2450801134109497,4.093999862670898,0.04197458550333977,0,311.5,-85.5089819,36.1754117
1729696562240000000,33.401,0,1.5,1.3027147054672241,63.709999084472656,0.0409502312541008,0,312,-85.5089823,36.1754127
1729696567155000000,38.316,0,1.5,1.2421706914901733,162.00999450683594,0.03977448120713234,0,312,-85.5089829,36.1754144
1729696572274000000,43.43499975585937,45,1.5,1.314194679260254,25.992000579833984,1.6333107948303223,117.47896575927734,311.5,-85.5087552,36.1753162
1729696577189000000,48.35,45,1.5,1.273053526878357,23.815000534057617,1.3645005226135254,108.7828369140625,311.9000244140625,-85.5086984,36.1753193
1729696582414000000,53.575000244140625,45,1.5,1.3970776796340942,25.93899917602539,0.9531388878822327,103.41561889648438,311.5,-85.5086708,36.1753217
1729696587328000000,58.489,45,1.5,1.3509842157363892,22.975000381469727,0.36833882331848145,104.62271118164062,312,-85.5086952,36.1753255
1729696592245000000,63.406,45,1.5,1.2807679176330566,19.312000274658203,0.5528205633163452,112.13211059570312,311.9000244140625,-85.5086563,36.1753098
1729696597467000000,68.628,45,1.5,1.399388074874878,20.57200050354004,0.481299489736557,106.48677825927734,311.9000244140625,-85.5086327,36.1753072
1729696602483000000,73.644,45,1.5,1.3423559665679932,20.34600067138672,0.3253946900367737,112.1314697265625,311.5,-85.5086269,36.1753024
1729696607408000000,78.569,45,1.5,1.315117597579956,19.961000442504883,0.2536461353302002,261.9588623046875,311.9000244140625,-85.5086789,36.1753057
1729696612417000000,83.578,45,1.5,1.365626335144043,25.908000946044922,0.30503591895103455,309.9781188964844,311.5,-85.5086908,36.1753273
1729696617433000000,88.594,45,1.5,1.277734398841858,21.409000396728516,0.15951327979564667,135.001708984375,312,-85.5086582,36.1753032
1729696622449000000,93.61,45,1.5,1.334771990776062,20.083999633789062,0.1690533459186554,107.16336822509766,311.5,-85.5086456,36.1753047
1729696627468000000,98.629,45,1.5,1.263378620147705,20.665000915527344,0.16770048439502716,105.517578125,311.5,-85.5086366,36.1753029
1729696632488000000,103.649,45,1.5,1.3333425521850586,17.020999908447266,0.16950277984142303,40.22954559326172,311.5,-85.5086341,36.1753185
1729696637505000000,108.666,0,1.5,1.3229936361312866,15.857000350952148,0.0882810428738594,0,311.9000244140625,-85.5086344,36.1753185
1729696642522000000,113.68299975585937,45,1.5,1.2758842706680298,20.031999588012695,0.22118814289569855,235.8336944580078,311.9000244140625,-85.5086592,36.1753034
1729696647540000000,118.701,45,1.5,1.3646469116210938,15.973999977111816,0.10000823438167572,347.2174987792969,311.5,-85.5086496,36.1753198
1729696652558000000,123.71900024414063,0,1.5,1.262498140335083,15.994999885559082,0.09514014422893524,0,311.9000244140625,-85.5086426,36.1753228
1729696657575000000,128.736,45,1.5,1.24384605884552,16.142000198364258,0.17546136677265167,110.21407318115234,312,-85.5086262,36.175313
1729696662592000000,133.753,45,1.5,1.27462899684906,20.812999725341797,0.168768510222435,175.04225158691406,311.5,-85.5086346,36.1753
1729696667507000000,138.668,45,1.5,1.207495093345642,20.05500030517578,0.39200958609580994,272.1940002441406,312,-85.5086841,36.1753109
1729696863224528600,334.3855285644531,47.9847412109375,0.7009279727935791,3.234171152114868,14.824000358581543,0.23999999463558197,333,312,-85.5093061,36.1755358
1729696864227540000,335.3885400390625,45,0.08062257617712021,3.1741409301757812,12.376999855041504,0.2269977331161499,332.9939880371094,312,-85.5091754,36.1754674
1729696865228282600,336.3892827148438,45,0.0860232561826706,3.254208564758301,11.128000259399414,1.2169803380966187,103.12863159179688,312,-85.5091403,36.1754584
1729696866232292600,337.39329272460935,45,0.0860232561826706,3.219921827316284,10.159000396728516,2.0078299045562744,101.979248046875,312,-85.5091112,36.1754536
1729696867228008400,338.38900854492186,45,0.08062257617712021,3.230973243713379,9.574000358581543,1.5859259366989136,100.21795654296875,312,-85.5090972,36.1754519
1729696868228826000,339.389826171875,45,0.08062257617712021,3.2184300422668457,7.831999778747559,1.1015008687973022,102.94413757324219,312,-85.5090892,36.17545
1729696869228548600,340.3895485839844,45,0.08062257617712021,3.2323410511016846,6.826000213623047,1.0785199403762817,108.11604309082031,312,-85.5090781,36.1754464
1729696870226461400,341.3874614257812,45,0.08062257617712021,3.3052659034729004,6.36299991607666,0.48379063606262207,47.123477935791016,312,-85.5090791,36.1754532
1729696871228920300,342.38992041015626,45,0.08062257617712021,3.2751736640930176,5.559000015258789,0.3310174345970154,40.16617202758789,312,-85.5090777,36.1754551
1729696871283000000,342.444,45,1.5,1.3116403818130493,4.998000144958496,0.315512090921402,39.63724136352539,312,-85.5090778,36.1754551
1729696872232399600,343.3933996582031,45,0.08062257617712021,1.2312078475952148,4.423999786376953,0.5368818640708923,88.3038101196289,312,-85.5090697,36.1754539
1729696873228852700,344.38985278320314,45,0.08062257617712021,1.3106818199157715,4.0370001792907715,0.5829671621322632,98.78800201416016,312,-85.509063,36.1754525
1729696874231916000,345.392916015625,45,0.08062257617712021,1.2724862098693848,3.8519999980926514,0.35814109444618225,98.30592346191406,312,-85.5090607,36.1754523
1729696875230736000,346.39173583984376,45,0.08062257617712021,1.3288010358810425,3.809000015258789,0.1869969666004181,96.18974304199219,312,-85.5090599,36.1754523
1729696876233000400,347.3940004882812,0,0.08062257617712021,1.3091578483581543,3.805999994277954,0.09068377315998077,0,312,-85.5090596,36.1754523
1729696877233476900,348.3944768066406,0,0.08062257617712021,1.3183133602142334,3.7899999618530273,0.04427728056907654,0,312,-85.5090594,36.1754522
1729696878233277700,349.3942775878906,0,0.08062257617712021,1.3754534721374512,3.7899999618530273,0.023309633135795593,0,312,-85.5090594,36.1754521
1729696878246000000,349.40700024414065,0,1.5,1.236378788948059,3.7929999828338623,0.022491764277219772,0,311.5,-85.5090594,36.1754521
1729696879231065300,350.3920654296875,45,0.08062257617712021,1.3107056617736816,3.7920000553131104,0.11083706468343735,133.01763916015625,311.5,-85.5090581,36.1754511
1729696880230228500,351.391228515625,0,0.08062257617712021,1.3056706190109253,3.7920000553131104,0.058137524873018265,0,311.5,-85.5090579,36.175451
1729696881234391600,352.3953916015625,0,0.08062257617712021,1.2613475322723389,3.7929999828338623,0.026347314938902855,0,311.5,-85.5090579,36.1754509
1729696882231231000,353.39223095703124,0,0.08062257617712021,1.3486653566360474,3.7920000553131104,0.017641698941588402,0,311.5,-85.5090578,36.1754508
1729696883237122600,354.39812255859374,0,0.08062257617712021,1.3570396900177002,3.7929999828338623,0.015146477147936821,0,311.5,-85.5090577,36.1754507
1729696883370000000,354.5309997558594,0,1.5,1.2198436260223389,3.822999954223633,0.013777604326605797,0,311.5,-85.5090577,36.1754507
1729696884233341700,355.394341796875,45,0.08062257617712021,1.270918846130371,3.822999954223633,0.11714392155408859,136.9863739013672,311.5,-85.5090564,36.1754496
1729696885232087600,356.3930876464844,0,0.08062257617712021,1.2950646877288818,3.822999954223633,0.06797217577695847,0,311.5,-85.5090562,36.1754494
1729696886232251000,357.3932509765625,0,0.08062257617712021,1.2509194612503052,3.818000078201294,0.03455767408013344,0,311.5,-85.5090561,36.1754493
1729696887229360600,358.3903605957031,0,0.08062257617712021,1.2574808597564697,3.818000078201294,0.02461502142250538,0,311.5,-85.5090559,36.1754492
1729696888236938800,359.3979387207031,0,0.08062257617712021,1.324851632118225,3.818000078201294,0.017992747947573662,0,311.5,-85.5090558,36.1754491
1729696888385000000,359.546,0,1.5,1.2736972570419312,3.8269999027252197,0.015901952981948853,0,311.5,-85.5090558,36.1754491
1729696889231557000,360.3925571289063,0,0.08062257617712021,1.2482714653015137,3.821000099182129,0.07018575072288513,0,311.5,-85.5090552,36.1754484
1729696890234507000,361.3955070800781,0,0.08062257617712021,1.2782210111618042,3.8269999027252197,0.03841770440340042,0,311.5,-85.5090551,36.1754483
1729696891244266000,362.40526586914064,0,0.0860232561826706,1.3127201795578003,3.8269999027252197,0.012057308107614517,0,311.5,-85.5090552,36.1754483
1729696893545966000,364.7069660644531,0,0.3052867650985718,1.2955914735794067,3.802000045776367,0.003764885012060404,0,311.5,-85.5090551,36.1754483
1729696894223816700,365.38481665039063,0,0.16278821229934692,1.281718373298645,3.799999952316284,0.001496325246989727,0,311.5,-85.5090551,36.1754483
1729696895228979500,366.3899794921875,0,0.08062257617712021,1.3233914375305176,3.799999952316284,0.005701697431504726,0,311.5,-85.509055,36.1754483
1729696896229879800,367.3908798828125,0,0.08062257617712021,1.3306777477264404,3.799999952316284,0.006823594681918621,0,311.5,-85.509055,36.1754484
1729696897228882000,368.3898818359375,0,0.0860232561826706,1.3202613592147827,3.799999952316284,0.006845951545983553,0,311.5,-85.5090549,36.1754483
1729696898230829000,369.3918291015625,0,0.0860232561826706,1.327448844909668,3.7980000972747803,0.00516622606664896,0,311.5,-85.5090549,36.1754484
1729696898418000000,369.5789997558594,0,1.5,1.210695505142212,3.8369998931884766,0.004879353567957878,0,311.9000244140625,-85.5090549,36.1754484
1729696899228455200,370.389455078125,45,0.08062257617712021,1.2546555995941162,3.8359999656677246,0.10361108183860779,120.47284698486328,311.9000244140625,-85.5090534,36.1754477
1729696900237467000,371.398466796875,0,0.08062257617712021,1.2070881128311157,3.8359999656677246,0.05889962241053581,0,311.9000244140625,-85.5090532,36.1754476
1729696901231803100,372.39280322265626,0,0.08062257617712021,1.2306454181671143,3.8359999656677246,0.03072800673544407,0,311.9000244140625,-85.509053,36.1754477
1729696902232885200,373.39388525390626,0,0.08062257617712021,1.2484900951385498,3.8359999656677246,0.016932029277086258,0,311.9000244140625,-85.5090529,36.1754477
1729696903235453700,374.39645361328127,0,0.08062257617712021,1.308495044708252,3.8359999656677246,0.011567610315978527,0,311.9000244140625,-85.5090528,36.1754477
1729696903437000000,374.598,0,1.5,1.2654132843017578,3.8399999141693115,0.009615649469196796,0,311.5,-85.5090528,36.1754477
1729696904230306000,375.39130615234376,0,0.08062257617712021,1.2379059791564941,3.8399999141693115,0.034926772117614746,0,311.5,-85.5090523,36.1754475
1729696905232267500,376.393267578125,0,0.08062257617712021,1.2510639429092407,3.8329999446868896,0.027122104540467262,0,311.5,-85.5090521,36.1754475
1729696906239478800,377.40047875976563,0,0.08062257617712021,1.2949652671813965,3.8399999141693115,0.0162661075592041,0,311.5,-85.509052,36.1754475
1729696907234313500,378.3953134765625,0,0.08062257617712021,1.3297265768051147,3.8399999141693115,0.011471581645309925,0,311.5,-85.5090519,36.1754475
1729696908235308800,379.3963088378906,0,0.08062257617712021,1.312585711479187,3.8329999446868896,0.009752393700182438,0,311.5,-85.5090518,36.1754475
1729696908455000000,379.616,0,1.5,1.2166979312896729,3.8440001010894775,0.008167733438313007,0,311.5,-85.5090518,36.1754475
1729696909231422500,380.39242236328124,45,0.08062257617712021,1.2012295722961426,3.8440001010894775,0.10217060893774033,144.31903076171875,311.5,-85.5090509,36.1754464
1729696910232879600,381.3938796386719,0,0.08062257617712021,1.2628158330917358,3.8440001010894775,0.04663015902042389,0,311.5,-85.5090509,36.1754464
1729696911233903400,382.3949033203125,0,0.08062257617712021,1.296518325805664,3.8369998931884766,0.01999780349433422,0,311.5,-85.5090508,36.1754464
1729696912228742100,383.3897421875,0,0.08062257617712021,1.3008369207382202,3.8369998931884766,0.007115938235074282,0,311.5,-85.5090508,36.1754464
1729696913236842000,384.3978420410156,0,0.08062257617712021,1.2995103597640991,3.8440001010894775,0.005229996982961893,0,311.5,-85.5090508,36.1754465
1729696913474000000,384.6349997558594,0,1.5,1.248028039932251,3.8489999771118164,0.0049680620431900024,0,311.5,-85.5090508,36.1754465
1729696914232181000,385.39318090820314,0,0.08062257617712021,1.263495922088623,3.8489999771118164,0.09066484123468399,0,311.5,-85.5090497,36.1754457
1729696915233974500,386.394974609375,0,0.08062257617712021,1.2860468626022339,3.8489999771118164,0.04901468753814697,0,311.5,-85.5090496,36.1754456
1729696916240385800,387.4013857421875,0,0.08062257617712021,1.313658595085144,3.8489999771118164,0.01988488994538784,0,311.5,-85.5090495,36.1754457
1729696917234544000,388.3955441894531,0,0.08062257617712021,1.32173490524292,3.8489999771118164,0.0056146616116166115,0,311.5,-85.5090496,36.1754458
1729696918230077700,389.39107763671876,0,0.08062257617712021,1.3234944343566895,3.8399999141693115,0.01364587526768446,0,311.5,-85.5090494,36.1754459
1729696918490000000,389.6509997558594,0,1.5,1.2647868394851685,3.8540000915527344,0.011834264732897282,0,311.5,-85.5090494,36.1754459
1729696919238273000,390.39927294921876,0,0.08062257617712021,1.2591102123260498,3.8540000915527344,0.08768864721059799,0,311.5,-85.5090487,36.1754449
1729696920234670800,391.3956708984375,0,0.08062257617712021,1.2610077857971191,3.8540000915527344,0.032418910413980484,0,311.5,-85.5090488,36.175445
1729696921235125200,392.39612524414065,0,0.08062257617712021,1.2845195531845093,3.8450000286102295,0.010426121763885021,0,311.5,-85.5090487,36.1754451
1729696922241813200,393.40281323242186,0,0.08062257617712021,1.304508090019226,3.8540000915527344,0.003918068017810583,0,311.5,-85.5090487,36.1754451
1729696924517654300,395.678654296875,0,0.7877182364463806,1.3272664546966553,3.8429999351501465,0.0037127844989299774,0,311.5,-85.5090486,36.1754451
1729696925227771600,396.3887717285156,0,0.45967379212379456,1.3426023721694946,3.8320000171661377,0.0016070549609139562,0,311.5,-85.5090486,36.1754451
1729696926235582200,397.39658227539064,0,0.0860232561826706,1.3526805639266968,3.8429999351501465,0.0005442170659080148,0,311.5,-85.5090486,36.1754451
1729696927234124000,398.3951240234375,0,0.0860232561826706,1.3436394929885864,3.8320000171661377,0.0001767022185958922,0,311.5,-85.5090486,36.1754451
1729696928240723200,399.4017231445313,0,0.0860232561826706,1.3482954502105713,3.8320000171661377,0.005108848214149475,0,311.5,-85.5090485,36.1754451
1729696928539000000,399.7,0,1.5,1.287638783454895,3.9000000953674316,0.004409504123032093,0,311.5,-85.5090485,36.1754451
1729696929234377000,400.395376953125,0,0.08062257617712021,1.3083295822143555,3.884000062942505,0.0820145532488823,0,311.5,-85.5090475,36.1754445
